Season,Date,Home Team,Away Team,Score
2000-2001,20:00,Barcelona,Valencia,"3            

                2"
2000-2001,20:00,Deportivo La Coruna,Malaga,"4            

                0"
2000-2001,20:00,Real Madrid,Real Valladolid,"2            

                1"
2000-2001,20:00,Real Mallorca,Real Oviedo,"4            

                2"
2000-2001,20:00,Real Sociedad,Osasuna,"0            

                1"
2000-2001,20:00,Real Zaragoza,Celta Vigo,"1            

                1"
2000-2001,18:00,Numancia,Alaves,"2            

                1"
2000-2001,20:00,Standard Liege,Athletic Bilbao,"3            

                0"
2000-2001,20:30,Villarreal,Espanyol,"4            

                0"
2000-2001,21:00,Las Palmas,Rayo Vallecano,"1            

                0"
2000-2001,17:00,Espanyol,Las Palmas,"3            

                2"
2000-2001,20:00,Alaves,Real Mallorca,"2            

                4"
2000-2001,20:00,Athletic Bilbao,Real Sociedad,"1            

                3"
2000-2001,20:00,Celta Vigo,Villarreal,"1            

                0"
2000-2001,20:00,Malaga,Standard Liege,"2            

                1"
2000-2001,20:00,Osasuna,Real Zaragoza,"1            

                0"
2000-2001,20:00,Rayo Vallecano,Numancia,"2            

                1"
2000-2001,20:00,Real Oviedo,Real Madrid,"1            

                1"
2000-2001,20:00,Real Valladolid,Barcelona,"2            

                2"
2000-2001,20:00,Valencia,Deportivo La Coruna,"0            

                1"
2000-2001,17:00,Athletic Bilbao,Malaga,"1            

                3"
2000-2001,17:00,Numancia,Espanyol,"2            

                1"
2000-2001,17:00,Standard Liege,Valencia,"1            

                1"
2000-2001,17:00,Villarreal,Osasuna,"2            

                0"
2000-2001,18:00,Real Mallorca,Rayo Vallecano,"4            

                0"
2000-2001,19:00,Barcelona,Real Oviedo,"0            

                1"
2000-2001,19:00,Deportivo La Coruna,Real Valladolid,"1            

                2"
2000-2001,19:00,Real Zaragoza,Real Sociedad,"1            

                1"
2000-2001,20:30,Real Madrid,Alaves,"5            

                0"
2000-2001,21:00,Las Palmas,Celta Vigo,"0            

                1"
2000-2001,17:00,Celta Vigo,Numancia,"1            

                1"
2000-2001,17:00,Espanyol,Real Mallorca,"0            

                1"
2000-2001,17:00,Osasuna,Las Palmas,"3            

                3"
2000-2001,17:00,Real Sociedad,Malaga,"4            

                0"
2000-2001,17:00,Real Valladolid,Standard Liege,"1            

                1"
2000-2001,18:00,Real Oviedo,Deportivo La Coruna,"2            

                3"
2000-2001,18:00,Real Zaragoza,Villarreal,"0            

                0"
2000-2001,19:00,Rayo Vallecano,Real Madrid,"0            

                1"
2000-2001,20:30,Alaves,Barcelona,"0            

                1"
2000-2001,20:00,Valencia,Athletic Bilbao,"1            

                0"
2000-2001,17:00,Athletic Bilbao,Real Valladolid,"1            

                1"
2000-2001,17:00,Malaga,Valencia,"3            

                0"
2000-2001,17:00,Numancia,Osasuna,"1            

                0"
2000-2001,17:00,Real Mallorca,Celta Vigo,"2            

                0"
2000-2001,18:00,Las Palmas,Real Zaragoza,"2            

                1"
2000-2001,19:00,Barcelona,Rayo Vallecano,"5            

                1"
2000-2001,19:00,Real Madrid,Espanyol,"2            

                2"
2000-2001,19:15,Standard Liege,Real Oviedo,"2            

                0"
2000-2001,19:30,Villarreal,Real Sociedad,"1            

                3"
2000-2001,17:00,Alaves,Standard Liege,"5            

                1"
2000-2001,17:00,Osasuna,Real Mallorca,"1            

                0"
2000-2001,17:00,Real Oviedo,Athletic Bilbao,"5            

                0"
2000-2001,17:00,Real Valladolid,Malaga,"0            

                0"
2000-2001,17:00,Villarreal,Las Palmas,"2            

                1"
2000-2001,18:00,Real Zaragoza,Numancia,"3            

                1"
2000-2001,19:00,Rayo Vallecano,Deportivo La Coruna,"1            

                1"
2000-2001,19:15,Real Sociedad,Valencia,"1            

                2"
2000-2001,19:30,Celta Vigo,Real Madrid,"3            

                0"
2000-2001,20:00,Espanyol,Barcelona,"0            

                0"
2000-2001,17:00,Athletic Bilbao,Alaves,"2            

                0"
2000-2001,17:00,Deportivo La Coruna,Espanyol,"1            

                0"
2000-2001,17:00,Malaga,Real Oviedo,"2            

                2"
2000-2001,17:00,Numancia,Villarreal,"1            

                3"
2000-2001,17:00,Real Mallorca,Real Zaragoza,"2            

                1"
2000-2001,17:00,Standard Liege,Rayo Vallecano,"1            

                1"
2000-2001,18:00,Las Palmas,Real Sociedad,"2            

                1"
2000-2001,19:00,Barcelona,Celta Vigo,"1            

                1"
2000-2001,20:00,Real Madrid,Osasuna,"1            

                1"
2000-2001,20:00,Valencia,Real Valladolid,"1            

                0"
2000-2001,17:00,Alaves,Malaga,"1            

                2"
2000-2001,17:00,Espanyol,Standard Liege,"3            

                0"
2000-2001,17:00,Osasuna,Barcelona,"3            

                1"
2000-2001,17:00,Rayo Vallecano,Athletic Bilbao,"1            

                2"
2000-2001,17:00,Real Sociedad,Real Valladolid,"3            

                1"
2000-2001,17:00,Villarreal,Real Mallorca,"2            

                2"
2000-2001,18:00,Las Palmas,Numancia,"1            

                1"
2000-2001,18:00,Real Zaragoza,Real Madrid,"2            

                3"
2000-2001,19:00,Real Oviedo,Valencia,"0            

                0"
2000-2001,20:00,Celta Vigo,Deportivo La Coruna,"2            

                1"
2000-2001,17:00,Athletic Bilbao,Espanyol,"0            

                1"
2000-2001,17:00,Malaga,Rayo Vallecano,"1            

                1"
2000-2001,17:00,Numancia,Real Sociedad,"3            

                3"
2000-2001,17:00,Real Valladolid,Real Oviedo,"1            

                0"
2000-2001,17:00,Standard Liege,Celta Vigo,"3            

                0"
2000-2001,19:00,Real Mallorca,Las Palmas,"2            

                1"
2000-2001,19:45,Deportivo La Coruna,Osasuna,"2            

                1"
2000-2001,20:00,Barcelona,Real Zaragoza,"4            

                4"
2000-2001,20:00,Valencia,Alaves,"1            

                2"
2000-2001,20:15,Real Madrid,Villarreal,"4            

                0"
2000-2001,16:00,Alaves,Real Valladolid,"4            

                2"
2000-2001,16:00,Celta Vigo,Athletic Bilbao,"2            

                1"
2000-2001,16:00,Espanyol,Malaga,"1            

                2"
2000-2001,16:00,Las Palmas,Real Madrid,"0            

                1"
2000-2001,16:00,Numancia,Real Mallorca,"0            

                2"
2000-2001,16:00,Osasuna,Standard Liege,"1            

                1"
2000-2001,16:00,Real Sociedad,Real Oviedo,"3            

                0"
2000-2001,16:00,Real Zaragoza,Deportivo La Coruna,"2            

                1"
2000-2001,16:00,Villarreal,Barcelona,"4            

                4"
2000-2001,20:00,Rayo Vallecano,Valencia,"1            

                4"
2000-2001,17:00,Real Mallorca,Real Sociedad,"1            

                1"
2000-2001,17:00,Real Oviedo,Alaves,"3            

                3"
2000-2001,17:00,Real Valladolid,Rayo Vallecano,"1            

                3"
2000-2001,17:00,Standard Liege,Real Zaragoza,"2            

                1"
2000-2001,18:00,Barcelona,Las Palmas,"4            

                1"
2000-2001,19:00,Athletic Bilbao,Osasuna,"0            

                1"
2000-2001,19:00,Real Madrid,Numancia,"1            

                0"
2000-2001,19:45,Deportivo La Coruna,Villarreal,"4            

                2"
2000-2001,20:00,Malaga,Celta Vigo,"1            

                4"
2000-2001,20:00,Valencia,Espanyol,"0            

                1"
2000-2001,16:00,Espanyol,Real Valladolid,"1            

                0"
2000-2001,16:00,Numancia,Barcelona,"1            

                1"
2000-2001,16:00,Osasuna,Malaga,"3            

                3"
2000-2001,16:00,Rayo Vallecano,Real Oviedo,"0            

                2"
2000-2001,16:00,Real Mallorca,Real Madrid,"1            

                0"
2000-2001,16:00,Real Sociedad,Alaves,"1            

                1"
2000-2001,16:00,Real Zaragoza,Athletic Bilbao,"2            

                2"
2000-2001,16:00,Villarreal,Standard Liege,"4            

                2"
2000-2001,19:30,Celta Vigo,Valencia,"3            

                2"
2000-2001,20:00,Las Palmas,Deportivo La Coruna,"2            

                0"
2000-2001,16:00,Alaves,Rayo Vallecano,"4            

                2"
2000-2001,16:00,Malaga,Real Zaragoza,"2            

                0"
2000-2001,16:00,Real Oviedo,Espanyol,"2            

                2"
2000-2001,16:00,Real Valladolid,Celta Vigo,"1            

                2"
2000-2001,16:00,Standard Liege,Las Palmas,"2            

                1"
2000-2001,19:00,Barcelona,Real Mallorca,"1            

                1"
2000-2001,20:00,Real Madrid,Real Sociedad,"4            

                0"
2000-2001,16:00,Athletic Bilbao,Villarreal,"1            

                1"
2000-2001,20:00,Deportivo La Coruna,Numancia,"4            

                1"
2000-2001,20:00,Valencia,Osasuna,"1            

                0"
2000-2001,16:00,Celta Vigo,Real Oviedo,"1            

                0"
2000-2001,16:00,Espanyol,Alaves,"0            

                0"
2000-2001,16:00,Numancia,Standard Liege,"1            

                0"
2000-2001,16:00,Osasuna,Real Valladolid,"2            

                1"
2000-2001,17:00,Las Palmas,Athletic Bilbao,"0            

                0"
2000-2001,19:00,Villarreal,Malaga,"1            

                2"
2000-2001,17:00,Real Mallorca,Deportivo La Coruna,"2            

                1"
2000-2001,17:00,Real Zaragoza,Valencia,"1            

                1"
2000-2001,17:30,Real Sociedad,Rayo Vallecano,"2            

                0"
2000-2001,18:00,Real Madrid,Barcelona,"2            

                2"
2000-2001,16:00,Alaves,Celta Vigo,"2            

                2"
2000-2001,16:00,Athletic Bilbao,Numancia,"3            

                1"
2000-2001,16:00,Malaga,Las Palmas,"2            

                1"
2000-2001,16:00,Rayo Vallecano,Espanyol,"1            

                1"
2000-2001,16:00,Real Oviedo,Osasuna,"2            

                3"
2000-2001,16:00,Real Valladolid,Real Zaragoza,"2            

                0"
2000-2001,16:00,Standard Liege,Real Mallorca,"2            

                1"
2000-2001,16:00,Valencia,Villarreal,"3            

                1"
2000-2001,19:00,Barcelona,Real Sociedad,"3            

                0"
2000-2001,20:00,Deportivo La Coruna,Real Madrid,"2            

                2"
2000-2001,16:00,Celta Vigo,Rayo Vallecano,"1            

                1"
2000-2001,16:00,Numancia,Malaga,"3            

                2"
2000-2001,16:00,Osasuna,Alaves,"0            

                1"
2000-2001,16:00,Real Sociedad,Espanyol,"2            

                1"
2000-2001,16:00,Real Zaragoza,Real Oviedo,"5            

                2"
2000-2001,16:00,Villarreal,Real Valladolid,"2            

                1"
2000-2001,19:00,Real Mallorca,Athletic Bilbao,"1            

                0"
2000-2001,18:30,Barcelona,Deportivo La Coruna,"2            

                3"
2000-2001,20:00,Real Madrid,Standard Liege,"1            

                0"
2000-2001,21:00,Las Palmas,Valencia,"0            

                2"
2000-2001,14:00,Alaves,Real Zaragoza,"1            

                0"
2000-2001,14:00,Malaga,Real Mallorca,"0            

                1"
2000-2001,14:00,Real Oviedo,Villarreal,"1            

                3"
2000-2001,14:00,Real Valladolid,Las Palmas,"1            

                0"
2000-2001,19:00,Standard Liege,Barcelona,"4            

                0"
2000-2001,17:00,Rayo Vallecano,Osasuna,"2            

                1"
2000-2001,19:15,Athletic Bilbao,Real Madrid,"1            

                0"
2000-2001,19:45,Deportivo La Coruna,Real Sociedad,"4            

                1"
2000-2001,20:00,Espanyol,Celta Vigo,"0            

                1"
2000-2001,20:00,Valencia,Numancia,"3            

                0"
2000-2001,16:00,Deportivo La Coruna,Standard Liege,"2            

                1"
2000-2001,16:00,Numancia,Real Valladolid,"0            

                0"
2000-2001,16:00,Osasuna,Espanyol,"1            

                3"
2000-2001,16:00,Real Madrid,Malaga,"4            

                3"
2000-2001,16:00,Real Sociedad,Celta Vigo,"2            

                2"
2000-2001,16:00,Real Zaragoza,Rayo Vallecano,"6            

                1"
2000-2001,16:00,Villarreal,Alaves,"2            

                0"
2000-2001,17:00,Las Palmas,Real Oviedo,"1            

                0"
2000-2001,19:00,Real Mallorca,Valencia,"2            

                2"
2000-2001,20:00,Barcelona,Athletic Bilbao,"7            

                0"
2000-2001,16:00,Alaves,Las Palmas,"1            

                0"
2000-2001,16:00,Celta Vigo,Osasuna,"1            

                0"
2000-2001,16:00,Rayo Vallecano,Villarreal,"0            

                1"
2000-2001,16:00,Real Oviedo,Numancia,"3            

                0"
2000-2001,16:00,Real Valladolid,Real Mallorca,"2            

                0"
2000-2001,16:00,Standard Liege,Real Sociedad,"1            

                4"
2000-2001,19:00,Valencia,Real Madrid,"0            

                1"
2000-2001,19:45,Espanyol,Real Zaragoza,"5            

                0"
2000-2001,20:00,Athletic Bilbao,Deportivo La Coruna,"2            

                2"
2000-2001,20:00,Malaga,Barcelona,"0            

                0"
2000-2001,20:00,Real Madrid,Real Zaragoza,"3            

                0"
2000-2001,16:00,Alaves,Numancia,"0            

                2"
2000-2001,16:00,Athletic Bilbao,Standard Liege,"3            

                1"
2000-2001,16:00,Celta Vigo,Real Zaragoza,"1            

                1"
2000-2001,16:00,Espanyol,Villarreal,"2            

                1"
2000-2001,16:00,Malaga,Deportivo La Coruna,"1            

                3"
2000-2001,16:00,Osasuna,Real Sociedad,"1            

                1"
2000-2001,16:00,Rayo Vallecano,Las Palmas,"1            

                1"
2000-2001,16:00,Real Oviedo,Real Mallorca,"1            

                1"
2000-2001,19:00,Real Valladolid,Real Madrid,"2            

                2"
2000-2001,20:00,Valencia,Barcelona,"0            

                1"
2001-2002,20:00,Espanyol,Malaga,"1            

                2"
2001-2002,20:00,Osasuna,Alaves,"0            

                1"
2001-2002,20:00,Rayo Vallecano,Celta Vigo,"1            

                0"
2001-2002,20:00,Real Mallorca,Real Valladolid,"2            

                1"
2001-2002,20:00,Real Sociedad,Las Palmas,"1            

                1"
2001-2002,20:00,Real Zaragoza,Barcelona,"1            

                1"
2001-2002,20:00,Sevilla,Villarreal,"1            

                0"
2001-2002,20:00,Tenerife,Athletic Bilbao,"2            

                3"
2001-2002,20:00,Valencia,Real Betis,"2            

                0"
2001-2002,20:00,Deportivo La Coruna,Real Madrid,"3            

                0"
2001-2002,19:00,Alaves,Rayo Vallecano,"0            

                1"
2001-2002,19:00,Barcelona,Espanyol,"2            

                0"
2001-2002,19:00,Celta Vigo,Sevilla,"1            

                2"
2001-2002,19:00,Las Palmas,Tenerife,"0            

                1"
2001-2002,19:00,Malaga,Valencia,"0            

                2"
2001-2002,19:00,Real Betis,Deportivo La Coruna,"0            

                3"
2001-2002,19:00,Real Madrid,Real Mallorca,"0            

                0"
2001-2002,19:00,Real Valladolid,Real Sociedad,"1            

                3"
2001-2002,19:00,Villarreal,Real Zaragoza,"2            

                1"
2001-2002,17:00,Rayo Vallecano,Athletic Bilbao,"4            

                2"
2001-2002,17:00,Real Zaragoza,Celta Vigo,"0            

                1"
2001-2002,17:00,Sevilla,Alaves,"2            

                0"
2001-2002,18:00,Osasuna,Las Palmas,"3            

                2"
2001-2002,18:00,Real Mallorca,Real Betis,"1            

                3"
2001-2002,18:00,Tenerife,Real Valladolid,"1            

                5"
2001-2002,19:00,Deportivo La Coruna,Malaga,"2            

                2"
2001-2002,20:00,Barcelona,Villarreal,"4            

                1"
2001-2002,20:30,Real Sociedad,Real Madrid,"3            

                0"
2001-2002,20:30,Valencia,Espanyol,"2            

                1"
2001-2002,17:00,Alaves,Real Zaragoza,"2            

                1"
2001-2002,17:00,Athletic Bilbao,Sevilla,"0            

                1"
2001-2002,17:00,Espanyol,Villarreal,"3            

                1"
2001-2002,17:00,Malaga,Real Mallorca,"0            

                0"
2001-2002,17:00,Real Betis,Real Sociedad,"3            

                0"
2001-2002,17:00,Real Valladolid,Osasuna,"1            

                0"
2001-2002,19:00,Valencia,Deportivo La Coruna,"1            

                0"
2001-2002,19:45,Celta Vigo,Barcelona,"2            

                1"
2001-2002,20:30,Real Madrid,Tenerife,"4            

                1"
2001-2002,21:00,Las Palmas,Rayo Vallecano,"0            

                2"
2001-2002,17:00,Deportivo La Coruna,Espanyol,"3            

                1"
2001-2002,17:00,Rayo Vallecano,Real Valladolid,"1            

                0"
2001-2002,17:00,Real Sociedad,Malaga,"2            

                1"
2001-2002,17:00,Sevilla,Las Palmas,"1            

                1"
2001-2002,17:00,Villarreal,Celta Vigo,"2            

                1"
2001-2002,17:30,Barcelona,Alaves,"3            

                2"
2001-2002,18:00,Real Zaragoza,Athletic Bilbao,"2            

                2"
2001-2002,18:00,Tenerife,Real Betis,"2            

                1"
2001-2002,19:00,Osasuna,Real Madrid,"3            

                1"
2001-2002,20:30,Real Mallorca,Valencia,"1            

                1"
2001-2002,17:00,Alaves,Villarreal,"2            

                1"
2001-2002,17:00,Espanyol,Celta Vigo,"2            

                0"
2001-2002,17:00,Malaga,Tenerife,"2            

                0"
2001-2002,17:00,Real Valladolid,Sevilla,"1            

                1"
2001-2002,18:00,Valencia,Real Sociedad,"4            

                0"
2001-2002,19:00,Real Betis,Osasuna,"0            

                0"
2001-2002,19:00,Real Madrid,Rayo Vallecano,"3            

                1"
2001-2002,19:45,Deportivo La Coruna,Real Mallorca,"5            

                0"
2001-2002,20:30,Athletic Bilbao,Barcelona,"0            

                2"
2001-2002,21:30,Las Palmas,Real Zaragoza,"1            

                1"
2001-2002,16:00,Osasuna,Malaga,"0            

                2"
2001-2002,16:45,Real Mallorca,Espanyol,"2            

                1"
2001-2002,17:00,Real Zaragoza,Real Valladolid,"0            

                0"
2001-2002,17:00,Villarreal,Athletic Bilbao,"5            

                2"
2001-2002,19:00,Rayo Vallecano,Real Betis,"0            

                0"
2001-2002,19:00,Sevilla,Real Madrid,"0            

                1"
2001-2002,19:15,Real Sociedad,Deportivo La Coruna,"1            

                1"
2001-2002,20:00,Barcelona,Las Palmas,"1            

                1"
2001-2002,20:30,Celta Vigo,Alaves,"3            

                1"
2001-2002,20:30,Tenerife,Valencia,"0            

                1"
2001-2002,16:00,Athletic Bilbao,Celta Vigo,"1            

                6"
2001-2002,16:00,Deportivo La Coruna,Tenerife,"3            

                1"
2001-2002,16:00,Espanyol,Alaves,"1            

                2"
2001-2002,16:00,Real Madrid,Real Zaragoza,"3            

                1"
2001-2002,16:00,Real Mallorca,Real Sociedad,"0            

                2"
2001-2002,17:00,Valencia,Osasuna,"2            

                1"
2001-2002,19:00,Real Valladolid,Barcelona,"1            

                2"
2001-2002,17:00,Malaga,Rayo Vallecano,"0            

                0"
2001-2002,20:30,Real Betis,Sevilla,"0            

                0"
2001-2002,21:00,Las Palmas,Villarreal,"3            

                2"
2001-2002,16:00,Alaves,Athletic Bilbao,"2            

                3"
2001-2002,16:00,Celta Vigo,Las Palmas,"3            

                2"
2001-2002,16:00,Real Sociedad,Espanyol,"1            

                0"
2001-2002,16:00,Real Zaragoza,Real Betis,"1            

                1"
2001-2002,16:00,Sevilla,Malaga,"0            

                2"
2001-2002,16:00,Villarreal,Real Valladolid,"2            

                2"
2001-2002,17:00,Tenerife,Real Mallorca,"0            

                0"
2001-2002,19:30,Rayo Vallecano,Valencia,"2            

                1"
2001-2002,18:00,Osasuna,Deportivo La Coruna,"1            

                3"
2001-2002,20:30,Barcelona,Real Madrid,"1            

                1"
2001-2002,16:00,Espanyol,Athletic Bilbao,"2            

                0"
2001-2002,16:00,Malaga,Real Zaragoza,"2            

                1"
2001-2002,16:00,Real Mallorca,Osasuna,"4            

                2"
2001-2002,16:00,Real Valladolid,Celta Vigo,"2            

                4"
2001-2002,16:00,Valencia,Sevilla,"2            

                0"
2001-2002,19:00,Real Sociedad,Tenerife,"0            

                2"
2001-2002,19:00,Real Madrid,Villarreal,"3            

                0"
2001-2002,19:30,Real Betis,Barcelona,"2            

                1"
2001-2002,20:30,Deportivo La Coruna,Rayo Vallecano,"1            

                1"
2001-2002,21:00,Las Palmas,Alaves,"2            

                1"
2001-2002,16:00,Alaves,Real Valladolid,"3            

                1"
2001-2002,16:00,Barcelona,Malaga,"5            

                1"
2001-2002,16:00,Osasuna,Real Sociedad,"1            

                1"
2001-2002,16:00,Rayo Vallecano,Real Mallorca,"0            

                2"
2001-2002,16:00,Real Zaragoza,Valencia,"0            

                1"
2001-2002,17:00,Tenerife,Espanyol,"1            

                1"
2001-2002,19:00,Athletic Bilbao,Las Palmas,"3            

                1"
2001-2002,20:00,Celta Vigo,Real Madrid,"0            

                1"
2001-2002,20:00,Sevilla,Deportivo La Coruna,"0            

                1"
2001-2002,20:30,Villarreal,Real Betis,"1            

                1"
2001-2002,16:00,Espanyol,Las Palmas,"3            

                1"
2001-2002,16:00,Malaga,Villarreal,"2            

                1"
2001-2002,16:00,Real Mallorca,Sevilla,"0            

                4"
2001-2002,16:00,Real Sociedad,Rayo Vallecano,"2            

                2"
2001-2002,16:00,Real Valladolid,Athletic Bilbao,"2            

                0"
2001-2002,17:00,Tenerife,Osasuna,"3            

                1"
2001-2002,19:00,Real Betis,Celta Vigo,"4            

                1"
2001-2002,19:00,Real Madrid,Alaves,"3            

                1"
2001-2002,19:45,Deportivo La Coruna,Real Zaragoza,"1            

                0"
2001-2002,20:30,Valencia,Barcelona,"2            

                0"
2001-2002,16:00,Alaves,Real Betis,"0            

                1"
2001-2002,16:00,Osasuna,Espanyol,"1            

                1"
2001-2002,16:00,Rayo Vallecano,Tenerife,"2            

                0"
2001-2002,16:00,Real Zaragoza,Real Mallorca,"1            

                0"
2001-2002,16:00,Sevilla,Real Sociedad,"0            

                1"
2001-2002,17:00,Las Palmas,Real Valladolid,"1            

                1"
2001-2002,19:00,Celta Vigo,Malaga,"0            

                0"
2001-2002,19:00,Athletic Bilbao,Real Madrid,"2            

                1"
2001-2002,20:00,Villarreal,Valencia,"1            

                1"
2001-2002,20:30,Barcelona,Deportivo La Coruna,"3            

                2"
2001-2002,16:00,Deportivo La Coruna,Villarreal,"0            

                0"
2001-2002,16:00,Espanyol,Real Valladolid,"1            

                0"
2001-2002,16:00,Malaga,Alaves,"1            

                0"
2001-2002,16:00,Osasuna,Rayo Vallecano,"1            

                0"
2001-2002,16:00,Real Madrid,Las Palmas,"7            

                0"
2001-2002,16:00,Real Sociedad,Real Zaragoza,"3            

                1"
2001-2002,17:00,Tenerife,Sevilla,"1            

                1"
2001-2002,19:00,Real Betis,Athletic Bilbao,"1            

                1"
2001-2002,19:30,Real Mallorca,Barcelona,"0            

                0"
2001-2002,20:30,Valencia,Celta Vigo,"0            

                0"
2001-2002,19:15,Athletic Bilbao,Malaga,"3            

                2"
2001-2002,19:30,Alaves,Valencia,"1            

                2"
2001-2002,20:00,Barcelona,Real Sociedad,"2            

                0"
2001-2002,20:00,Rayo Vallecano,Espanyol,"2            

                2"
2001-2002,20:00,Real Valladolid,Real Madrid,"2            

                1"
2001-2002,20:00,Real Zaragoza,Tenerife,"1            

                1"
2001-2002,20:00,Sevilla,Osasuna,"0            

                0"
2001-2002,20:00,Villarreal,Real Mallorca,"2            

                1"
2001-2002,21:30,Las Palmas,Real Betis,"0            

                0"
2001-2002,20:30,Celta Vigo,Deportivo La Coruna,"0            

                2"
2001-2002,16:00,Espanyol,Real Madrid,"2            

                1"
2001-2002,16:00,Malaga,Las Palmas,"1            

                1"
2001-2002,16:00,Osasuna,Real Zaragoza,"0            

                0"
2001-2002,16:00,Real Betis,Real Valladolid,"2            

                0"
2001-2002,19:00,Valencia,Athletic Bilbao,"2            

                1"
2001-2002,17:30,Real Sociedad,Villarreal,"2            

                1"
2001-2002,19:30,Real Mallorca,Celta Vigo,"0            

                1"
2001-2002,19:45,Deportivo La Coruna,Alaves,"0            

                1"
2001-2002,20:30,Rayo Vallecano,Sevilla,"2            

                1"
2001-2002,21:00,Tenerife,Barcelona,"0            

                6"
2001-2002,16:00,Alaves,Real Mallorca,"0            

                4"
2001-2002,16:00,Athletic Bilbao,Deportivo La Coruna,"1            

                1"
2001-2002,16:00,Barcelona,Osasuna,"0            

                1"
2001-2002,16:00,Real Valladolid,Malaga,"0            

                0"
2001-2002,16:00,Real Zaragoza,Rayo Vallecano,"3            

                2"
2001-2002,16:00,Sevilla,Espanyol,"3            

                0"
2001-2002,16:00,Villarreal,Tenerife,"2            

                1"
2001-2002,19:00,Real Madrid,Real Betis,"1            

                1"
2001-2002,20:30,Celta Vigo,Real Sociedad,"3            

                1"
2001-2002,21:00,Las Palmas,Valencia,"0            

                1"
2001-2002,20:00,Rayo Vallecano,Alaves,"2            

                0"
2001-2002,16:00,Espanyol,Real Betis,"1            

                1"
2001-2002,16:00,Osasuna,Villarreal,"2            

                2"
2001-2002,16:00,Rayo Vallecano,Barcelona,"2            

                1"
2001-2002,16:00,Real Mallorca,Athletic Bilbao,"3            

                0"
2001-2002,16:00,Sevilla,Real Zaragoza,"4            

                2"
2001-2002,16:00,Valencia,Real Valladolid,"1            

                2"
2001-2002,17:00,Tenerife,Celta Vigo,"1            

                1"
2001-2002,19:00,Deportivo La Coruna,Las Palmas,"1            

                0"
2001-2002,16:00,Real Sociedad,Alaves,"1            

                2"
2001-2002,20:30,Malaga,Real Madrid,"1            

                1"
2001-2002,16:00,Alaves,Tenerife,"1            

                0"
2001-2002,16:00,Barcelona,Sevilla,"3            

                1"
2001-2002,16:00,Celta Vigo,Osasuna,"1            

                1"
2001-2002,16:00,Real Betis,Malaga,"1            

                1"
2001-2002,16:00,Real Valladolid,Deportivo La Coruna,"3            

                0"
2001-2002,16:00,Real Zaragoza,Espanyol,"0            

                0"
2001-2002,17:00,Las Palmas,Real Mallorca,"3            

                1"
2001-2002,19:00,Real Madrid,Valencia,"1            

                0"
2001-2002,19:30,Villarreal,Rayo Vallecano,"1            

                1"
2001-2002,20:30,Athletic Bilbao,Real Sociedad,"2            

                1"
2001-2002,16:00,Malaga,Espanyol,"2            

                0"
2001-2002,16:00,Real Betis,Valencia,"1            

                3"
2001-2002,16:00,Real Valladolid,Real Mallorca,"2            

                1"
2001-2002,17:00,Alaves,Osasuna,"0            

                2"
2001-2002,17:00,Athletic Bilbao,Tenerife,"1            

                2"
2001-2002,19:00,Barcelona,Real Zaragoza,"2            

                0"
2001-2002,16:00,Celta Vigo,Rayo Vallecano,"2            

                2"
2001-2002,16:00,Villarreal,Sevilla,"0            

                2"
2001-2002,20:30,Real Madrid,Deportivo La Coruna,"3            

                1"
2001-2002,21:00,Las Palmas,Real Sociedad,"0            

                0"
2002-2003,20:00,Barcelona,Celta Vigo,"2            

                0"
2002-2003,20:00,Real Madrid,Athletic Bilbao,"3            

                1"
2002-2003,20:00,Real Sociedad,Atletico Madrid,"3            

                0"
2002-2003,20:00,Villarreal,Real Betis,"1            

                4"
2002-2003,18:00,Rayo Vallecano,Recreativo Huelva,"0            

                0"
2002-2003,19:00,Alaves,Real Valladolid,"1            

                1"
2002-2003,19:00,Real Mallorca,Malaga,"1            

                0"
2002-2003,19:00,Sevilla,Valencia,"0            

                3"
2002-2003,19:30,Racing Santander,Osasuna,"2            

                3"
2002-2003,19:45,Deportivo La Coruna,Espanyol,"2            

                1"
2002-2003,18:00,Osasuna,Alaves,"4            

                2"
2002-2003,20:00,Athletic Bilbao,Deportivo La Coruna,"3            

                2"
2002-2003,20:00,Celta Vigo,Real Sociedad,"3            

                2"
2002-2003,20:00,Espanyol,Villarreal,"2            

                2"
2002-2003,20:00,Malaga,Sevilla,"3            

                2"
2002-2003,20:00,Real Betis,Racing Santander,"4            

                2"
2002-2003,20:00,Recreativo Huelva,Real Mallorca,"1            

                1"
2002-2003,20:00,Valencia,Barcelona,"1            

                3"
2002-2003,18:00,Real Valladolid,Villarreal,"2            

                0"
2002-2003,18:00,Alaves,Real Betis,"0            

                1"
2002-2003,18:00,Real Mallorca,Rayo Vallecano,"1            

                1"
2002-2003,18:00,Real Valladolid,Osasuna,"0            

                2"
2002-2003,18:00,Villarreal,Athletic Bilbao,"1            

                1"
2002-2003,18:30,Barcelona,Malaga,"2            

                1"
2002-2003,19:00,Sevilla,Recreativo Huelva,"1            

                0"
2002-2003,20:00,Real Sociedad,Valencia,"1            

                1"
2002-2003,20:15,Racing Santander,Espanyol,"5            

                2"
2002-2003,20:30,Real Madrid,Celta Vigo,"1            

                1"
2002-2003,17:00,Espanyol,Alaves,"3            

                1"
2002-2003,17:00,Real Mallorca,Sevilla,"1            

                3"
2002-2003,18:00,Recreativo Huelva,Barcelona,"1            

                3"
